date,country,cases,deaths,population,gdp,density_per_sqr_km
2020-11-23,Austria,5215,44,8877067.0,50137.6627762476,107.131858943286
2020-11-24,Austria,3090,94,8877067.0,50137.6627762476,107.131858943286
2020-11-25,Austria,4135,115,8877067.0,50137.6627762476,107.131858943286
2020-11-26,Austria,5896,94,8877067.0,50137.6627762476,107.131858943286
2020-11-27,Austria,5447,114,8877067.0,50137.6627762476,107.131858943286
2020-11-28,Austria,4818,148,8877067.0,50137.6627762476,107.131858943286
2020-11-29,Austria,4765,58,8877067.0,50137.6627762476,107.131858943286
2020-11-30,Austria,3907,82,8877067.0,50137.6627762476,107.131858943286
2020-12-01,Austria,2348,79,8877067.0,50137.6627762476,107.131858943286
2020-12-02,Austria,3464,213,8877067.0,50137.6627762476,107.131858943286
2020-12-03,Austria,3660,133,8877067.0,50137.6627762476,107.131858943286
2020-12-04,Austria,3783,118,8877067.0,50137.6627762476,107.131858943286
2020-12-05,Austria,3634,140,8877067.0,50137.6627762476,107.131858943286
2020-12-06,Austria,3160,87,8877067.0,50137.6627762476,107.131858943286
2020-12-07,Austria,2745,58,8877067.0,50137.6627762476,107.131858943286
2020-12-08,Austria,2181,95,8877067.0,50137.6627762476,107.131858943286
2020-12-09,Austria,2531,80,8877067.0,50137.6627762476,107.131858943286
2020-12-10,Austria,2913,126,8877067.0,50137.6627762476,107.131858943286
2020-12-11,Austria,2466,125,8877067.0,50137.6627762476,107.131858943286
2020-12-12,Austria,3026,101,8877067.0,50137.6627762476,107.131858943286
2020-12-13,Austria,2938,96,8877067.0,50137.6627762476,107.131858943286
2020-12-14,Austria,3005,45,8877067.0,50137.6627762476,107.131858943286
2020-12-15,Austria,2521,110,8877067.0,50137.6627762476,107.131858943286
2020-12-16,Austria,2954,141,8877067.0,50137.6627762476,107.131858943286
2020-12-17,Austria,2766,127,8877067.0,50137.6627762476,107.131858943286
2020-12-18,Austria,2180,108,8877067.0,50137.6627762476,107.131858943286
2020-12-19,Austria,1914,131,8877067.0,50137.6627762476,107.131858943286
2020-12-20,Austria,2258,110,8877067.0,50137.6627762476,107.131858943286
2020-12-21,Austria,1593,89,8877067.0,50137.6627762476,107.131858943286
2020-12-22,Austria,1218,140,8877067.0,50137.6627762476,107.131858943286
2020-12-23,Austria,2493,114,8877067.0,50137.6627762476,107.131858943286
2020-12-24,Austria,2600,141,8877067.0,50137.6627762476,107.131858943286
2020-12-25,Austria,2818,61,8877067.0,50137.6627762476,107.131858943286
2020-12-26,Austria,1750,38,8877067.0,50137.6627762476,107.131858943286
2020-12-27,Austria,1258,42,8877067.0,50137.6627762476,107.131858943286
2020-12-28,Austria,1376,42,8877067.0,50137.6627762476,107.131858943286
2020-12-29,Austria,1651,78,8877067.0,50137.6627762476,107.131858943286
2020-12-30,Austria,1836,133,8877067.0,50137.6627762476,107.131858943286
2020-12-31,Austria,3129,81,8877067.0,50137.6627762476,107.131858943286
2021-01-01,Austria,3011,45,8877067.0,50137.6627762476,107.131858943286
2021-01-02,Austria,2110,46,8877067.0,50137.6627762476,107.131858943286
2021-01-03,Austria,1491,37,8877067.0,50137.6627762476,107.131858943286
2021-01-04,Austria,1611,39,8877067.0,50137.6627762476,107.131858943286
2021-01-05,Austria,1951,73,8877067.0,50137.6627762476,107.131858943286
2021-01-06,Austria,2255,77,8877067.0,50137.6627762476,107.131858943286
2021-01-07,Austria,2877,51,8877067.0,50137.6627762476,107.131858943286
2021-01-08,Austria,2006,50,8877067.0,50137.6627762476,107.131858943286
2021-01-09,Austria,2001,68,8877067.0,50137.6627762476,107.131858943286
2021-01-10,Austria,2446,42,8877067.0,50137.6627762476,107.131858943286
2021-01-11,Austria,1597,17,8877067.0,50137.6627762476,107.131858943286
2021-01-12,Austria,1328,71,8877067.0,50137.6627762476,107.131858943286
2021-01-13,Austria,1728,80,8877067.0,50137.6627762476,107.131858943286
2021-01-14,Austria,2246,44,8877067.0,50137.6627762476,107.131858943286
2021-01-15,Austria,1514,54,8877067.0,50137.6627762476,107.131858943286
2021-01-16,Austria,1472,51,8877067.0,50137.6627762476,107.131858943286
2021-01-17,Austria,1757,33,8877067.0,50137.6627762476,107.131858943286
